"T12" "maxO3" "vent" "pluie"
"20010601" 18.5 87 "Nord" "Sec"
"20010602" 18.4 82 "Nord" "Sec"
"20010603" 17.6 92 "Est" "Sec"
"20010604" 19.7 114 "Nord" "Sec"
"20010605" 20.5 94 "Ouest" "Sec"
"20010606" 19.8 80 "Ouest" "Pluie"
"20010607" 15.6 79 "Ouest" "Sec"
"20010610" 17.5 79 "Nord" "Sec"
"20010611" 19.6 101 "Nord" "Sec"
"20010612" 21.9 106 "Ouest" "Sec"
"20010613" 19.3 101 "Nord" "Sec"
"20010614" 20.3 90 "Sud" "Sec"
"20010615" 19.6 72 "Sud" "Sec"
"20010616" 18.2 70 "Ouest" "Pluie"
"20010617" 17.4 83 "Nord" "Sec"
"20010618" 19.1 88 "Ouest" "Sec"
"20010620" 24.6 145 "Ouest" "Sec"
"20010621" 22.4 81 "Nord" "Sec"
"20010622" 24.2 121 "Est" "Sec"
"20010623" 28.6 146 "Sud" "Sec"
"20010624" 25.2 121 "Nord" "Sec"
"20010625" 32.7 146 "Est" "Sec"
"20010626" 23.5 108 "Sud" "Sec"
"20010627" 22.9 83 "Ouest" "Sec"
"20010628" 22.4 57 "Ouest" "Pluie"
"20010629" 25.1 81 "Sud" "Sec"
"20010630" 23.4 67 "Ouest" "Sec"
"20010701" 22.7 70 "Nord" "Sec"
"20010702" 28.4 106 "Est" "Sec"
"20010703" 30.1 139 "Sud" "Sec"
"20010704" 18.8 79 "Ouest" "Sec"
"20010705" 18.2 93 "Sud" "Pluie"
"20010706" 23.7 97 "Nord" "Sec"
"20010707" 18.2 113 "Ouest" "Pluie"
"20010708" 21.2 72 "Ouest" "Pluie"
"20010709" 22 88 "Ouest" "Sec"
"20010710" 20.7 77 "Ouest" "Sec"
"20010711" 21 71 "Ouest" "Sec"
"20010712" 17.3 56 "Ouest" "Pluie"
"20010713" 14.5 45 "Est" "Pluie"
"20010714" 18.6 67 "Ouest" "Pluie"
"20010715" 19.1 67 "Ouest" "Pluie"
"20010716" 20.4 84 "Sud" "Sec"
"20010717" 20.5 63 "Ouest" "Pluie"
"20010718" 15.6 69 "Ouest" "Pluie"
"20010719" 19.1 92 "Nord" "Sec"
"20010720" 20.3 88 "Ouest" "Pluie"
"20010721" 21.6 66 "Sud" "Sec"
"20010722" 21.9 72 "Ouest" "Sec"
"20010723" 22.5 81 "Nord" "Sec"
"20010724" 22.5 83 "Nord" "Sec"
"20010725" 26.9 149 "Ouest" "Sec"
"20010726" 27.7 153 "Nord" "Sec"
"20010727" 28.3 159 "Nord" "Sec"
"20010728" 27.6 149 "Ouest" "Sec"
"20010729" 29.6 160 "Sud" "Sec"
"20010730" 30.5 156 "Ouest" "Sec"
"20010731" 26.3 84 "Nord" "Sec"
"20010801" 29.5 126 "Est" "Sec"
"20010802" 23.8 116 "Sud" "Pluie"
"20010803" 18.2 77 "Ouest" "Pluie"
"20010804" 20.6 63 "Ouest" "Pluie"
"20010805" 18.7 54 "Sud" "Pluie"
"20010806" 23 65 "Ouest" "Sec"
"20010807" 21.6 72 "Ouest" "Pluie"
"20010808" 21.4 60 "Ouest" "Pluie"
"20010809" 17.1 70 "Nord" "Pluie"
"20010810" 20 77 "Nord" "Sec"
"20010811" 22.8 98 "Ouest" "Pluie"
"20010812" 25.2 111 "Ouest" "Sec"
"20010813" 20.5 75 "Nord" "Sec"
"20010814" 29.8 116 "Sud" "Sec"
"20010815" 23.7 109 "Sud" "Sec"
"20010819" 21.1 67 "Ouest" "Pluie"
"20010820" 21.3 76 "Ouest" "Pluie"
"20010821" 24.8 113 "Sud" "Sec"
"20010822" 26.9 117 "Sud" "Pluie"
"20010823" 28.4 131 "Ouest" "Sec"
"20010824" 27.2 166 "Ouest" "Sec"
"20010825" 33.5 159 "Sud" "Sec"
"20010826" 22.9 100 "Ouest" "Sec"
"20010827" 26.3 114 "Est" "Sec"
"20010828" 24.4 112 "Est" "Sec"
"20010829" 17.8 101 "Nord" "Pluie"
"20010830" 18.6 76 "Ouest" "Sec"
"20010831" 20.3 59 "Ouest" "Pluie"
"20010901" 20.2 78 "Nord" "Pluie"
"20010902" 22.7 76 "Ouest" "Pluie"
"20010903" 16.8 55 "Ouest" "Pluie"
"20010904" 19.2 71 "Nord" "Pluie"
"20010905" 18.9 66 "Nord" "Pluie"
"20010906" 18.3 59 "Nord" "Pluie"
"20010907" 20.8 68 "Ouest" "Pluie"
"20010908" 19.8 63 "Ouest" "Sec"
"20010912" 22.2 78 "Ouest" "Sec"
"20010913" 18.7 74 "Ouest" "Pluie"
"20010914" 17.9 71 "Nord" "Pluie"
"20010915" 17.7 69 "Nord" "Pluie"
"20010916" 17.7 71 "Nord" "Sec"
"20010917" 14 60 "Nord" "Pluie"
"20010918" 14.3 42 "Nord" "Pluie"
"20010919" 16.3 65 "Ouest" "Pluie"
"20010920" 18 71 "Ouest" "Sec"
"20010921" 19.4 96 "Est" "Pluie"
"20010922" 19.7 98 "Est" "Sec"
"20010923" 17.6 92 "Nord" "Sec"
"20010924" 17.7 76 "Ouest" "Pluie"
"20010925" 17.7 84 "Sud" "Sec"
"20010927" 20.8 77 "Sud" "Pluie"
"20010928" 23 99 "Sud" "Sec"
"20010929" 19.8 83 "Ouest" "Pluie"
"20010930" 18.6 70 "Sud" "Sec"
