ecotype;plt;etat;longitude;latitude;semflo;haut;rambas;longfeu;grlon;huile
209;1;TEX;-94,83;30,91;50;190;2;44;4,66;28,97
209;2;TEX;-94,83;30,91;51;180;0;44;4,72;28,74
209;3;TEX;-94,83;30,91;44;180;2;47;4,15;24,97
209;4;TEX;-94,83;30,91;45;140;1;36;4,33;26,18
209;5;TEX;-94,83;30,91;50;200;2;41;4,04;28,71
211;1;ILL;-88,07;41,52;35;120;2;43;5,41;31,24
211;2;ILL;-88,07;41,52;44;210;2;63;6,39;25,89
211;4;ILL;-88,07;41,52;42;200;2;52;7,37;31,9
211;5;ILL;-88,07;41,52;41;190;2;60;6,35;29,68
351;1;Misso;-90,2;38,63;52;260;3;50;4,36;27,55
351;3;Misso;-90,2;38,63;58;210;3;52;5,95;23,16
351;4;Misso;-90,2;38,63;53;305;3;52;4,73;25,45
358;1;WYO;-104,2;43,85;40;140;2;30;5,78;28,15
358;3;WYO;-104,2;43,85;39;180;2;33;6,17;35,5
358;4;WYO;-104,2;43,85;35;195;2;37;4,82;33,64
358;5;WYO;-104,2;43,85;40;135;2;23;5,23;26,24
361;1;WYO;-104,26;41,79;58;270;2;67;4,84;30,28
361;2;WYO;-104,26;41,79;40;220;2;52;4,78;30,13
361;4;WYO;-104,26;41,79;67;240;1;49;4,98;31,75
361;5;WYO;-104,26;41,79;49;210;2;52;5,39;31,42
363;1;COL;-103,59;39,74;40;210;3;41;4,99;21,2
363;4;COL;-103,59;39,74;45;220;2;50;4,83;27,71
363;5;COL;-103,59;39,74;40;240;3;48;4,86;23,68
378;1;SDK;-100,71;43,89;31;120;3;17;6,61;25,53
378;3;SDK;-100,71;43,89;30;160;0;30;7,49;29,68
378;5;SDK;-100,71;43,89;29;135;2;27;6,7;29,75
383;1;ARZ;-113,61;34,7;41;260;3;45;4,48;25,64
383;2;ARZ;-113,61;34,7;41;220;3;44;5,62;27,05
383;3;ARZ;-113,61;34,7;41;240;3;47;4,89;24,41
383;5;ARZ;-113,61;34,7;40;240;3;43;4,89;27,16
386;1;ARZ;-112;34;45;250;3;64;4,92;25,41
386;4;ARZ;-112;34;40;190;2;25;4,58;15,24
386;5;ARZ;-112;34;48;200;3;53;3,9;26,77
388;1;SDK;-100;44;43;240;3;51;4,83;24,31
388;2;SDK;-100;44;47;200;3;46;4,42;26,06
388;4;SDK;-100;44;51;210;3;52;4,48;25,65
410;1;CLF;-121,74;38,55;48;235;3;54;6,18;23,38
410;2;CLF;-121,74;38,55;45;200;3;50;6,53;23,93
410;3;CLF;-121,74;38,55;51;230;2;51;5,41;24,15
410;5;CLF;-121,74;38,55;54;210;3;55;4,72;22,53
421;1;CLF;-114,63;32,74;48;220;3;60;4,33;27,49
421;2;CLF;-114,63;32,74;48;190;2;45;5,08;24,57
421;3;CLF;-114,63;32,74;52;200;3;66;4,55;24,26
421;4;CLF;-114,63;32,74;48;200;3;54;5,19;21,86
421;5;CLF;-114,63;32,74;48;200;3;56;4,81;25,95
435;2;CLF;-117,65;35;40;145;3;54;5,22;30,11
435;5;CLF;-117,65;35;40;200;3;48;5,84;27,76
437;1;CLF;-118,17;35,05;41;225;3;42;5,36;30,18
437;2;CLF;-118,17;35,05;40;220;3;36;6,65;26,29
437;3;CLF;-118,17;35,05;46;200;3;60;6,52;26,03
437;5;CLF;-118,17;35,05;37;200;3;31;6,46;25,54
446;2;CLF;-121,68;38,29;46;200;3;57;5,14;27,35
446;3;CLF;-121,68;38,29;49;280;3;52;4,78;28,8
446;4;CLF;-121,68;38,29;45;230;3;55;5,01;28,03
446;5;CLF;-121,68;38,29;42;220;3;51;5,59;27,15
458;1;CLF;-121,68;38,08;49;255;3;65;5,25;24,71
458;2;CLF;-121,68;38,08;42;230;3;46;5,45;23,28
458;3;CLF;-121,68;38,08;41;240;2;51;4,85;25,05
458;4;CLF;-121,68;38,08;46;200;2;47;4,49;21,93
458;5;CLF;-121,68;38,08;42;265;2;44;5,3;23,11
461;1;NMX;-106;35;48;210;3;51;5,55;23,55
461;2;NMX;-106;35;56;200;3;49;4,59;22,48
461;3;NMX;-106;35;42;175;3;58;4,85;24,87
461;4;NMX;-106;35;45;165;3;41;5,56;27,03
461;5;NMX;-106;35;42;220;3;38;5,52;28,62
463;3;NMX;-106;35;50;220;3;47;4,78;27,34
463;5;NMX;-106;35;37;160;3;45;5,16;26,16
468;1;CLF;-121,77;34,68;45;180;1;47;8,07;29,21
468;2;CLF;-121,77;34,68;51;180;0;51;8,13;21,2
468;3;CLF;-121,77;34,68;45;190;0;41;7,44;26,83
468;4;CLF;-121,77;34,68;44;170;0;47;8,16;26,09
468;5;CLF;-121,77;34,68;45;190;0;41;6,26;23,07
509;1;TEX;-100,57;30,57;45;240;2;42;3,91;20,96
509;4;TEX;-100,57;30,57;41;210;2;41;4,32;27,98
509;6;TEX;-100,57;30,57;47;240;3;60;4,84;24,31
509;7;TEX;-100,57;30,57;40;230;3;45;4,46;20,92
509;8;TEX;-100,57;30,57;40;205;3;60;3,96;22,98
509;10;TEX;-100,57;30,57;42;230;2;53;4,3;24,25
511;1;TEX;-97,38;27,8;58;210;3;49;4,99;24,83
511;2;TEX;-97,38;27,8;50;125;3;37;4,54;26,37
511;3;TEX;-97,38;27,8;45;100;3;22;4,35;26,79
511;4;TEX;-97,38;27,8;55;220;3;54;5,68;24,19
511;5;TEX;-97,38;27,8;56;140;3;25;4,81;25,15
519;1;ARZ;-110,68;35,02;38;255;3;38;4,84;25,97
519;2;ARZ;-110,68;35,02;47;280;3;53;4,97;24,43
519;3;ARZ;-110,68;35,02;49;280;3;53;5,59;30,72
519;4;ARZ;-110,68;35,02;47;270;3;60;4,4;18,94
519;5;ARZ;-110,68;35,02;48;200;3;61;4,96;27,88
646;1;OKL;-93,74;36,4;103;250;3;62;4,85;26,74
646;2;OKL;-93,74;36,4;43;230;3;50;4,71;26,79
646;3;OKL;-93,74;36,4;51;270;3;64;4,57;29,86
646;4;OKL;-93,74;36,4;97;190;3;51;4,43;26,25
646;5;OKL;-93,74;36,4;113;170;2;55;4,38;25,31
647;1;TEX;-97;28,86;50;280;3;66;4,76;27,48
647;2;TEX;-97;28,86;56;245;3;48;3,96;25,14
647;3;TEX;-97;28,86;51;295;3;50;3,97;25,48
647;4;TEX;-97;28,86;51;260;2;52;4,16;24,69
647;5;TEX;-97;28,86;40;200;4;41;3,95;25,1
648;1;TEX;-97,99;26,19;48;300;3;52;3,68;23,8
648;2;TEX;-97,99;26,19;49;290;3;44;3,9;24,21
648;3;TEX;-97,99;26,19;45;235;3;50;3,85;27,41
648;4;TEX;-97,99;26,19;45;240;3;48;4,26;26,81
648;5;TEX;-97,99;26,19;46;290;3;50;4,05;26,58
649;1;NMX;-104,08;32,31;46;220;3;47;3,95;25,23
649;2;NMX;-104,08;32,31;42;235;3;58;4,62;30,5
649;3;NMX;-104,08;32,31;45;215;3;50;4,74;26
649;5;NMX;-104,08;32,31;46;215;3;50;4,45;29,73
650;1;TEX;-102,85;34,55;43;190;3;41;4,41;27,22
650;2;TEX;-102,85;34,55;51;260;2;57;4,72;29,94
650;3;TEX;-102,85;34,55;43;190;3;36;4,57;28,58
650;4;TEX;-102,85;34,55;41;190;3;46;4,26;27,42
650;5;TEX;-102,85;34,55;43;185;3;55;4,97;28,86
651;1;OKL;-98,39;34,61;49;230;3;54;4,2;24,55
651;2;OKL;-98,39;34,61;57;265;2;60;4,36;24,76
651;3;OKL;-98,39;34,61;56;280;2;59;4,8;25,5
651;4;OKL;-98,39;34,61;60;240;3;61;4,21;25,99
651;5;OKL;-98,39;34,61;51;240;2;61;4,91;24
652;2;TEX;-97,16;27,88;42;245;3;55;4,3;24,59
652;3;TEX;-97,16;27,88;40;200;3;48;3,91;24,34
652;4;TEX;-97,16;27,88;49;215;3;55;4,82;25,26
652;5;TEX;-97,16;27,88;41;235;3;51;4,93;25,19
654;1;ARZ;-111,5;32,72;40;210;3;49;4,46;26,53
654;2;ARZ;-111,5;32,72;47;245;3;46;4,59;24,6
654;3;ARZ;-111,5;32,72;48;255;3;53;4,6;25,37
654;4;ARZ;-111,5;32,72;41;245;3;43;4,94;25,08
654;5;ARZ;-111,5;32,72;44;280;3;60;4,59;26,47
658;1;UTA;-112,53;37,05;39;190;3;30;4,71;25,26
658;4;UTA;-112,53;37,05;53;250;3;62;4,86;24,32
658;5;UTA;-112,53;37,05;60;140;2;24;4,93;30,15
660;1;COL;-108,55;39,06;38;250;3;45;4,74;29,48
660;2;COL;-108,55;39,06;35;225;2;27;4,72;33,12
660;3;COL;-108,55;39,06;35;255;2;38;4,91;30,93
660;4;COL;-108,55;39,06;37;235;3;39;4,57;28,61
660;5;COL;-108,55;39,06;37;200;3;31;4,34;29,37
661;1;NMX;-106;37;28;160;3;22;5,14;24,98
661;2;NMX;-106;37;30;165;3;22;4,68;30,33
661;4;NMX;-106;37;30;200;3;27;5,73;32,74
661;5;NMX;-106;37;31;190;3;29;5,56;29,4
662;1;OKL;-96,94;35,26;38;235;3;38;4,6;30,03
662;2;OKL;-96,94;35,26;36;260;1;54;4,74;24,12
662;3;OKL;-96,94;35,26;36;305;2;68;5,29;23,85
662;4;OKL;-96,94;35,26;33;190;3;39;5,5;27,43
662;5;OKL;-96,94;35,26;58;260;2;65;5,38;24,78
665;1;IOW;-96,23;42,73;103;225;2;70;3,83;25,37
665;3;IOW;-96,23;42,73;40;210;2;44;4,7;25,54
665;4;IOW;-96,23;42,73;44;245;2;53;5,16;25,65
665;5;IOW;-96,23;42,73;97;235;3;61;4,03;22,17
733;1;KAN;-100,91;38,48;35;160;2;34;5,35;27,73
733;2;KAN;-100,91;38,48;38;170;3;40;4,99;26,2
733;4;KAN;-100,91;38,48;50;225;3;50;5,03;25,87
733;5;KAN;-100,91;38,48;36;175;3;33;4,43;28,36
734;1;TEX;-101,17;29,68;48;140;2;31;4,54;22,24
734;2;TEX;-101,17;29,68;51;175;3;45;4,11;22,86
734;3;TEX;-101,17;29,68;48;180;3;45;3,99;23,71
